EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,17-06-2003,AD_PRES,24000,0,0,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-09-2005,AD_VP,17000,0,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,13-01-2001,AD_VP,17000,0,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-01-2006,IT_PROG,9000,0,102,60
104,Bruce,Ernst,BERNST,590.423.4568,21-05-2007,IT_PROG,6000,0,103,60
105,David,Austin,DAUSTIN,590.423.4569,25-06-2005,IT_PROG,4800,0,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,05-02-2006,IT_PROG,4800,0,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-02-2007,IT_PROG,4200,0,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-08-2002,FI_MGR,12008,0,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,16-08-2002,FI_ACCOUNT,9000,0,108,100
110,John,Chen,JCHEN,515.124.4269,28-09-2005,FI_ACCOUNT,8200,0,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-09-2005,FI_ACCOUNT,7700,0,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-03-2006,FI_ACCOUNT,7800,0,108,100
113,Luis,Popp,LPOPP,515.124.4567,07-12-2007,FI_ACCOUNT,6900,0,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-12-2002,PU_MAN,11000,0,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,18-05-2003,PU_CLERK,3100,0,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,24-12-2005,PU_CLERK,2900,0,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,24-07-2005,PU_CLERK,2800,0,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,15-11-2006,PU_CLERK,2600,0,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-08-2007,PU_CLERK,2500,0,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,18-07-2004,ST_MAN,8000,0,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,10-04-2005,ST_MAN,8200,0,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-05-2003,ST_MAN,7900,0,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-10-2005,ST_MAN,6500,0,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-11-2007,ST_MAN,5800,0,100,50
125,Julia,Nayer,JNAYER,650.124.1214,16-07-2005,ST_CLERK,3200,0,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-09-2006,ST_CLERK,2700,0,120,50
127,James,Landry,JLANDRY,650.124.1334,14-01-2007,ST_CLERK,2400,0,120,50
128,Steven,Markle,SMARKLE,650.124.1434,08-03-2008,ST_CLERK,2200,0,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,20-08-2005,ST_CLERK,3300,0,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-10-2005,ST_CLERK,2800,0,121,50
131,James,Marlow,JAMRLOW,650.124.7234,16-02-2005,ST_CLERK,2500,0,121,50
